,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
12353,37857,Dmitrij Naumovich Babichenko,Russian,Male,1901.0,1991.0,90.0
12364,37913,Pietro Gigli,Italian,Male,1897.0,1987.0,90.0
12365,37919,Alfred Roller,Austrian,Male,1864.0,1935.0,71.0
12366,37920,Bertalan Pór,Hungarian,Male,1880.0,1964.0,84.0
12370,37926,Fritz Hellmut Ehmcke,German,Male,1878.0,1965.0,87.0
12379,37948,Pasqualino Cangiullo,Italian,Male,1900.0,1975.0,75.0
12382,37955,Helene Haasbauer-Wallrath,Swiss,Female,1885.0,1968.0,83.0
12383,37958,Walter Cyliax,German,Male,1899.0,1945.0,46.0
12384,37960,Ernst Fischer,German,Male,1910.0,2006.0,96.0
12385,37964,Charles Henri Ford,American,Male,1908.0,2002.0,94.0
12388,37983,Viktor Weixler,Austrian,Male,1883.0,1977.0,94.0
12389,37984,Fritz Judtmann,German,Male,1899.0,1968.0,69.0
12392,38004,Ray Tomlinson,American,Male,1941.0,2016.0,75.0
12399,38014,Sylvia Sleigh,British,Female,1916.0,2010.0,94.0
12405,38023,Frederic Lieberman,American,Male,1930.0,2013.0,83.0
12406,38024,János Kender,Hungarian,Male,1937.0,2009.0,72.0
12410,38032,Juan Di Sandro,Argentine,Male,1898.0,1988.0,90.0
12411,38036,Dmitri Baltermants,Russian,Male,1912.0,2000.0,88.0
12414,38040,Ludwig Gosewitz,German,Male,1937.0,2007.0,70.0
12415,38041,François Dufrêne,French,Male,1930.0,1982.0,52.0
12419,38052,Laurence Bradshaw,British,Male,1899.0,1978.0,79.0
12420,38053,Mary Adshead,British,Female,1904.0,1995.0,91.0
12421,38054,Eric Lombers,British,Male,1914.0,1978.0,64.0
12422,38064,Verney L. Danvers,British,Male,1895.0,1973.0,78.0
12426,38104,George Landow,American,Male,1944.0,2011.0,67.0
12432,38143,James Fitton,British,Male,1899.0,1982.0,83.0
12433,38149,F. Ernest Jackson,British,Male,1872.0,1945.0,73.0
12434,38158,Jacob Gayer,American,Male,1884.0,1969.0,85.0
12436,38160,Jules Janssen,French,Male,1824.0,1907.0,83.0
12450,38197,Deryck Healy,South African,Male,1937.0,2004.0,67.0
12453,38200,Trevor Makhoba,South African,Male,1956.0,2003.0,47.0
12457,38204,Gabisile Nkosi,South African,Female,1974.0,2008.0,34.0
12460,38207,Sthembiso Sibisi,South African,Male,1976.0,2006.0,30.0
12474,38239,Hans Leistikow,German,Male,1892.0,1962.0,70.0
12500,38463,Gerd Arntz,German,Male,1900.0,1988.0,88.0
12506,38484,P. Scott Makela,American,Male,1960.0,1999.0,39.0
12514,38512,Inge Morath,Austrian,Female,1923.0,2002.0,79.0
12528,38619,F. Holland Day,American,Male,1864.0,1933.0,69.0
12530,38624,Joseph Turner Keiley,American,Male,1869.0,1914.0,45.0
12534,38634,James Wells Champney,American,Male,1843.0,1903.0,60.0
12537,38637,Charles I. Berg,American,Male,1856.0,1926.0,70.0
12541,38659,Mathilde Weil,American,Female,1872.0,1918.0,46.0
12543,38672,Adolf Boehm,Austrian,Male,1861.0,1927.0,66.0
12548,38695,Pierre Chareau,French,Male,1883.0,1950.0,67.0
12554,38736,Arthur Bedou,American,Male,1882.0,1966.0,84.0
12555,38737,Mart Stam,Dutch,Male,1899.0,1986.0,87.0
12559,38765,Dita Moser,Austrian,Female,1883.0,1968.0,85.0
12561,38774,Sameer Makarius,Argentine,Male,1924.0,2009.0,85.0
12567,38842,Friedrich Froebel,German,Male,1782.0,1852.0,70.0
12568,38851,Magda Mautner von Markhof,Austrian,Female,1881.0,1944.0,63.0
12575,38897,Reid Miles,American,Male,1927.0,1993.0,66.0
12584,38939,Ödön Palasovsky,Hungarian,Male,1899.0,1980.0,81.0
12587,38943,Marek Piasecki,Polish,Male,1935.0,2011.0,76.0
12589,38946,Cengiz Çekil,Turkish,Male,1945.0,2015.0,70.0
12592,38961,Kiyoji Otsuji,Japanese,Male,1923.0,2001.0,78.0
12595,38991,Saburo Murakami,Japanese,Male,1925.0,1996.0,71.0
12596,38998,Diana Balton,American,Female,1958.0,2013.0,55.0
12603,39027,Jacqueline Groag,British,Female,1903.0,1986.0,83.0
12612,39052,Max Penson,Russian,Male,1893.0,1959.0,66.0
12615,39095,Franciszka Themerson,British,Female,1907.0,1988.0,81.0
12626,39160,Gabriele Basilico,Italian,Male,1944.0,2013.0,69.0
12627,39162,Eugène Beaudouin,French,Male,1898.0,1983.0,85.0
12628,39164,Munio Gitai Weinraub,Israeli,Male,1909.0,1970.0,61.0
12662,39328,Heinrich Richter-Berlin,German,Male,1884.0,1981.0,97.0
12663,39331,Charles Harry Jones,British,Male,1866.0,1959.0,93.0
12670,39391,Oscar Bony,Argentine,Male,1941.0,2002.0,61.0
12694,39621,Lidy Prati,Argentine,Female,1921.0,2008.0,87.0
12700,39641,Marcel Mariën,Belgian,Male,1920.0,1993.0,73.0
12707,39662,Michael Buthe,German,Male,1944.0,1994.0,50.0
12722,39845,Miloslav Prokop,Czech,Male,1896.0,1954.0,58.0
12725,39856,Henry Patrick Raleigh,American,Male,1880.0,1945.0,65.0
12726,39882,Luigi Ghirri,Italian,Male,1943.0,1992.0,49.0
12728,39904,Walter Käch,Swiss,Male,1901.0,1970.0,69.0
12734,39943,Ray Yoshida,American,Male,1930.0,2009.0,79.0
12741,39998,Henri Chopin,French,Male,1922.0,2008.0,86.0
12742,40029,Zenon Januszewski,Polish,Male,1929.0,1983.0,54.0
12744,40053,Filippo Romoli,Italian,Male,1901.0,1969.0,68.0
12745,40054,Theo Doro (Théodore Pfeifer),French,Male,1896.0,1973.0,77.0
12747,40066,Joseph Albert,German,Male,1825.0,1886.0,61.0
12748,40142,Jean Heiberg,Norwegian,Male,1884.0,1976.0,92.0
12756,40293,Hans Brockhage,German,Male,1925.0,2009.0,84.0
12770,40398,Rainer (Imi) Giese,German,Male,1942.0,1974.0,32.0
12771,40399,Bernd Lohaus,German,Male,1940.0,2010.0,70.0
12773,40407,Val Telberg,American,Male,1910.0,1995.0,85.0
12779,40430,Michael Jackson,American,Male,1958.0,2009.0,51.0
12795,40516,Spain Rodriguez,American,Male,1940.0,2012.0,72.0
12803,40555,Sturtevant,American,Female,1924.0,2014.0,90.0
12818,40667,Frantisek Drtikol,Czech,Male,1883.0,1961.0,78.0
12819,40680,Tomislav Gotovac,Croatian,Male,1937.0,2010.0,73.0
